trial,score,best_score,sharpe,best_sharpe,ann_return,ann_vol,max_dd,calmar,profit_factor,avg_turnover,avg_positions,n_trade_days,elapsed_min,error,N_PCA_FACTORS,OU_WINDOW,ENTRY_THRESHOLD,LONG_EXIT_THRESHOLD,SHORT_EXIT_THRESHOLD,KAPPA_MIN,DELTA_A,OBS_VAR_SCALE
41,0.26550340891406327,0.8089556220394695,0.36212963392687897,0.8669806629729631,0.03303538929515261,0.0912253132584645,-0.18556203015684725,0.17802882015910948,1.0673593552022418,0.07690419868784107,55.300549450549454,1803,51.31972926060359,,10,140,2.25,0.4,0.1,18,0.9987759668212972,1.1101288097842625
42,0.4251794524118678,0.8089556220394695,0.4882816232350098,0.8669806629729631,0.048717099657161686,0.09977254383320128,-0.11713548147605546,0.4159038665591716,1.1033707649373183,0.09068860170228601,63.59065934065934,1815,53.69145224491755,,12,160,1.5,0.4,0.25,20,0.9986048662848384,0.6218432768236288
43,0.4689675603570729,0.8089556220394695,0.525854516524913,0.8669806629729631,0.05205391632365795,0.09898919698865387,-0.10564784783410519,0.49271156384932935,1.110424383966906,0.08126064501575016,61.19615384615385,1815,55.84628139336904,,11,160,1.75,0.4,0.1,10,0.9985481568907729,0.776821626139997
44,0.47285798783654853,0.8089556220394695,0.5364505900862331,0.8669806629729631,0.054938402392403496,0.10241092732058005,-0.11545386922167222,0.4758472172718732,1.1122806563813112,0.1173133527769682,55.8978021978022,1815,57.948954804738364,,11,160,1.75,0.9999999999999999,0.7,18,0.9989428452270159,0.8237367514777624
45,0.5048513743394885,0.8089556220394695,0.5783752253765446,0.8669806629729631,0.05601180156417516,0.09684336241703526,-0.13693911233737377,0.40902705303200854,1.1128175569042313,0.10108589736738659,62.29945054945055,1815,59.41852349440257,,8,160,1.5,0.7,0.1,14,0.9983651621469026,0.9959503528239466
46,0.511365487336162,0.8089556220394695,0.5922055162336741,0.8669806629729631,0.056538789341029336,0.09547156821605846,-0.15287025724533565,0.3698481991188933,1.1058985202297398,0.08809800549688421,55.887362637362635,1809,60.74459468126297,,6,140,2.0,0.4,0.25,20,0.9987997515926975,0.877191306327504
47,0.7652751933611148,0.8089556220394695,0.8173403643785898,0.8669806629729631,0.07727973946545881,0.09455025450041649,-0.09439019650661173,0.8187263330895345,1.1607930837980325,0.09740145528338119,59.558241758241756,1811,62.17327021757762,,8,140,1.75,0.7,0.1,20,0.9984884536892602,1.0830483829994915
48,0.4125829403122087,0.8089556220394695,0.49015407684935325,0.8669806629729631,0.053368544684387405,0.10888116044537155,-0.146138834876003,0.3651907087508256,1.0982431157548411,0.09003438198286065,58.46923076923077,1815,63.56412957111994,,6,160,1.75,0.7,0.1,20,0.9989124210534953,1.033556808260928
49,0.45113098529167495,0.8089556220394695,0.553749549669329,0.8669806629729631,0.06666733241550106,0.12039257179588027,-0.19193784960921234,0.3473381229978168,1.1068693792181845,0.13299279146095708,41.434065934065934,1815,64.94303210576375,,8,120,2.25,0.85,0.1,20,0.9926855183115565,1.1667752786230052
15,0.5899819302393192,0.5899819302393192,0.6561517659016205,0.6561517659016205,0.06603096618237189,0.10063367899595378,-0.11985088491251628,0.5509426670530669,1.132798868380766,0.12488786412086485,60.145054945054945,1815,15.221838462352753,,9,140,1.5,0.85,0.1,20,0.9973340955158548,0.9522301618174283
8,0.5174881911945259,0.5174881911945259,0.5907021295578821,0.5907021295578821,0.056975357860469,0.0964536185151607,-0.13047998737347555,0.43665974382253164,1.1110968498031688,0.15947889353236902,62.98626373626374,1815,8.263905878861745,,7,120,1.25,0.85,0.1,20,0.9958114267701532,0.5384588178410068
9,-0.03747359903105855,0.5174881911945259,0.09918041220573469,0.5907021295578821,0.013982239513179149,0.1409778322374293,-0.25632869273875003,0.05454808575577544,1.016977170007952,0.16979329734836446,31.00989010989011,1796,9.178812797864278,,4,140,2.25,0.85,0.85,8,0.9900185201996198,0.43904287143015563
